title,description
Tooling property,Open ended property for tooling.
Template,Language Generator template to use to create the activity
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Microsoft ActivityTemplate,
Tooling property,Open ended property for tooling.
Id,Optional dialog ID.
Auto end dialog,"If set to true the dialog will automatically end when there are no further actions.  If set to false, remember to manually end the dialog using EndDialog action."
Default result property,Value that will be passed back to the parent dialog.
Recognizer,Input recognizer that interprets user input into intent and entities.
Language Generator,Language generator that generates bot responses.
Selector,"Policy to determine which trigger is executed. Defaults to a 'best match' selector (optional)."
Event triggers,Event triggers for handling events.
Triggers,List of triggers defined for this dialog.
Reference to JSON schema,Reference to JSON schema .dialog file.
Schema,Schema to fill in.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Adaptive Dialog,"Flexible, data driven dialog that can adapt to the conversation."
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Age Entity Recognizer,Recognizer which recognizes age.
Tooling property,Open ended property for tooling.
Name,Name of the property
Expected Properties,Properties expected from the user.
Default Operation,Sets the default operation that will be used when no operation is recognized in the response to this Ask.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Activity,Activity to send.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Send Activity to Ask a question,This is an action which sends an activity to the user when a response is expected
Tooling property,Open ended property for tooling.
Object,Attachment object.
Default value,"'Property' will be set to the object or the result of this expression when max turn count is exceeded."
Object,Attachment object.
Value,"'Property' will be set to the object or the result of this expression unless it evaluates to null."
Standard format,Standard output formats.
Output format,Attachment output format.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Initial prompt,Message to send to collect information.
Unrecognized prompt,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Invalid prompt,Message to send when the user input does not meet any validation expression.
Default value response,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Max turn count,Maximum number of re-prompt attempts to collect information.
Condition,Expression which needs to met for the input to be considered valid
Validation expressions,Expression to validate user input.
Property,"Property to store collected information. Input will be skipped if property has value (unless 'Always prompt' is true)."
Always prompt,"Collect information even if the specified 'property' is not empty."
Allow Interruptions,A boolean expression that determines whether the parent should be allowed to interrupt the input.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Attachment input dialog,Collect information - Ask for a file or image.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Dialog,
Dialog name,Name of the dialog to call.
Options,Options for dialog.
Options,One or more options that are passed to the dialog that is called.
Activity Processed,"When set to false, the dialog that is called can process the current activity."
Property,Property to store any value returned by the dialog that is called.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Begin a dialog,Begin another dialog.
Tooling property,Open ended property for tooling.
Id,Optional id for the skill dialog
Disabled,Optional condition which if true will disable this action.
Activity Processed,"When set to false, the skill will be started using the activity in the current turn context instead of the activity in the Activity property."
Property,Property to store any value returned by the dialog that is called.
Skill host bot ID,The Microsoft App ID that will be calling the skill.
Skill host,The callback Url for the skill host.
OAuth Connection Name (SSO),"The OAuth Connection Name, that would be used to perform Single SignOn with a skill."
Skill App ID,The Microsoft App ID for the skill.
Skill endpoint ,The /api/messages endpoint for the skill.
Activity,The activity to send to the skill.
Allow Interruptions,A boolean expression that determines whether the parent should be allowed to interrupt the skill.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Begin a skill,Begin a remote skill.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Break Loop,Stop executing this loop
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Activity Processed,"When set to false, the caller dialog is told it should process the current activity."
Event name,Name of the event to emit.
Event value,Value to emit with the event (optional).
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Cancel all dialogs,Cancel all active dialogs. All dialogs in the dialog chain will need a trigger to capture the event configured in this action.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Activity Processed,"When set to false, the caller dialog is told it should process the current activity."
Event name,Name of the event to emit.
Event value,Value to emit with the event (optional).
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Cancel all dialogs,Cancel all active dialogs. All dialogs in the dialog chain will need a trigger to capture the event configured in this action.
Tooling property,Open ended property for tooling.
Default value,"'Property' will be set to the value of this expression when max turn count is exceeded."
Value,"'Property' will be set to the value of this expression unless it evaluates to null."
Standard,Standard output format.
Output format,Sets the desired choice output format (either value or index into choices).
Simple choice,One choice for choice input.
Simple choices,Simple choices to choose from.
Value,Value to return when this choice is selected.
Action,Card action for the choice.
Synonym,Synonym for value.
Synonyms,List of synonyms to recognize in addition to the value (optional).
Structured choice,Structured choice to choose from.
Structured choices,Choices that allow full control.
Array of choices,Choices to choose from.
Default locale,The default locale to use to parse confirmation choices if there is not one passed by the caller.
List style,Standard list style.
List style,Sets the ListStyle to control how choices are rendered.
Inline separator,Character used to separate individual choices when there are more than 2 choices
Inline or,Separator inserted between the choices when there are only 2 choices
Inline or more,Separator inserted between the last 2 choices when their are more than 2 choices.
Include numbers,"If true, 'inline' and 'list' list style will be prefixed with the index of the choice."
Object,Choice options object.
Choice options,Sets the choice options used for controlling how choices are combined.
No value,"If true, the choices value field will NOT be search over"
No action,"If true, the choices action.title field will NOT be searched over"
Recognize numbers,"If true, the number recognizer will be used to recognize an index response (1,2,3...) to the prompt."
Recognize ordinals,"If true, the ordinal recognizer will be used to recognize ordinal response (first/second/...) to the prompt."
Object,Options for recognizer.
Recognizer options,Sets how to recognize choices in the response
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Initial prompt,Message to send to collect information.
Unrecognized prompt,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Invalid prompt,Message to send when the user input does not meet any validation expression.
Default value response,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Max turn count,Maximum number of re-prompt attempts to collect information.
Condition,Expression which needs to met for the input to be considered valid
Validation expressions,Expression to validate user input.
Property,"Property to store collected information. Input will be skipped if property has value (unless 'Always prompt' is true)."
Always prompt,"Collect information even if the specified 'property' is not empty."
Allow Interruptions,A boolean expression that determines whether the parent should be allowed to interrupt the input.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Choice input dialog,Collect information - Pick from a list of choices
Tooling property,Open ended property for tooling.
Condition,Expression to evaluate
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Conditional Trigger Selector,Use a rule selector based on a condition
Tooling property,Open ended property for tooling.
Output format,Optional expression to use to format the output.
Default locale,The Default locale or an expression which provides the default locale to use as default if not found in the activity.
Standard style,Standard style for rendering choices.
List style,Sets the ListStyle to control how choices are rendered.
Inline separator,Text to separate individual choices when there are more than 2 choices
Inline or,Text to be inserted between the choices when their are only 2 choices
Inline or more,Text to be inserted between the last 2 choices when their are more than 2 choices.
Include numbers,"If true, inline and list style choices will be prefixed with the index of the choice."
Choice options,Choice options.
Choice Options,Choice Options or expression which provides Choice Options to control display choices to the user.
Default value,"'Property' will be set to the value of this expression when max turn count is exceeded."
Value,"'Property' will be set to the value of this expression unless it evaluates to null."
Simple choice,Simple choice to confirm.
Simple choices,Simple choices to confirm from.
Value,Value to return when this choice is selected.
Action,Card action for the choice.
Synonym,Synonym for choice.
Synonyms,List of synonyms to recognize in addition to the value (optional).
Choice,Choice to confirm.
Structured choices,Structured choices for confirmations.
Array of choice objects,Array of simple or structured choices.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Initial prompt,Message to send to collect information.
Unrecognized prompt,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Invalid prompt,Message to send when the user input does not meet any validation expression.
Default value response,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Max turn count,Maximum number of re-prompt attempts to collect information.
Condition,Expression which needs to met for the input to be considered valid
Validation expressions,Expression to validate user input.
